song_name,artist_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,98,218289,0.274,0.778,0.632,0.0,2,0.0915,-5.6,0,0.0493,122.104,4,0.498
Flowers,Miley Cyrus,98,200455,0.0632,0.707,0.681,5.15e-06,0,0.0322,-4.325,1,0.0668,117.999,4,0.646
Los Angeles,Myke Towers,63,163360,0.291,0.776,0.665,0.0,11,0.162,-6.078,0,0.396,98.211,4,0.872
CORAZONES ROTOS,Lola Indigo,74,230130,0.238,0.788,0.782,0.00042,9,0.0773,-5.517,1,0.0513,123.042,4,0.525
VISTA AL MAR,Quevedo,37,180673,0.803,0.759,0.561,0.121,0,0.101,-5.643,0,0.131,104.915,4,0.491
PUNTO G,Quevedo,36,151325,0.251,0.751,0.761,0.000238,11,0.0991,-4.113,0,0.15,92.032,4,0.553
SIN SEÑAL,Quevedo,33,185085,0.333,0.822,0.851,0.00792,11,0.105,-3.314,0,0.0422,117.992,4,0.749
AHORA QUÉ,Quevedo,48,171429,0.212,0.447,0.765,0.0,2,0.128,-5.457,0,0.0943,101.545,3,0.542
PLAYA DEL INGLÉS,Quevedo,35,237525,0.0822,0.793,0.736,0.0,7,0.109,-3.254,0,0.0469,112.993,4,0.656
El Joseo,Myke Towers,61,230840,0.173,0.766,0.571,2.21e-06,7,0.0487,-5.276,1,0.211,176.039,4,0.96
WANDA,Quevedo,44,160909,0.249,0.724,0.631,0.0,4,0.213,-4.42,0,0.0686,176.076,4,0.957
DAME,Quevedo,45,231429,0.368,0.742,0.508,2.72e-05,4,0.115,-5.705,1,0.0539,98.017,4,0.31
YANKEE,Quevedo,46,194400,0.389,0.544,0.747,6.81e-06,6,0.159,-4.659,1,0.194,123.647,5,0.476
MUÑECA,Quevedo,43,210750,0.393,0.729,0.68,0.0,4,0.239,-5.687,1,0.0554,114.928,4,0.466
CUÉNTALE,Quevedo,45,198000,0.222,0.714,0.662,5.03e-06,6,0.176,-6.626,0,0.152,119.972,4,0.275
Pauta & Flow,Myke Towers,62,195427,0.254,0.727,0.705,7.29e-05,0,0.116,-5.345,1,0.305,160.864,4,0.796
Whiskey y Coco,Justin Quiles,76,186477,0.112,0.755,0.768,6.49e-06,8,0.203,-4.032,1,0.145,176.006,4,0.617
LISBOA,Quevedo,41,151304,0.287,0.673,0.809,0.0,6,0.213,-3.426,1,0.0805,91.935,4,0.514
LUCES AZULES,Quevedo,43,160976,0.253,0.659,0.704,2.18e-06,1,0.133,-5.85,1,0.0409,122.951,4,0.15
ME FALTA ALGO,Quevedo,41,193636,0.452,0.435,0.615,0.0,6,0.502,-5.632,1,0.0439,176.254,4,0.489
ÉRAMOS DOS,Quevedo,41,174426,0.151,0.702,0.742,0.0,7,0.112,-3.894,1,0.177,89.923,4,0.587
Quien Va a Frontiar,Ozuna,70,174507,0.312,0.877,0.706,0.0,9,0.0933,-6.473,0,0.116,94.028,4,0.633
INTRO - SPEECH CRUZZI,Quevedo,45,60857,0.752,0.514,0.366,0.0194,5,0.238,-10.796,1,0.316,77.16,5,0.708
DONDE QUIERO ESTAR,Quevedo,41,200471,0.293,0.638,0.732,0.0,4,0.119,-4.87,0,0.0647,169.917,4,0.0717
Celestial,Ed Sheeran,0,209027,0.0529,0.574,0.852,0.0,2,0.161,-1.248,1,0.0397,123.038,4,0.501
Shivers,Ed Sheeran,1,207853,0.281,0.788,0.859,0.0,2,0.0424,-2.724,1,0.0856,141.02,4,0.822
Shivers,Ed Sheeran,0,207853,0.281,0.788,0.859,0.0,2,0.0424,-2.724,1,0.0856,141.02,4,0.822
Shivers,Ed Sheeran,0,207853,0.281,0.788,0.859,0.0,2,0.0424,-2.724,1,0.0856,141.02,4,0.822
Shivers,Ed Sheeran,0,207853,0.281,0.788,0.859,0.0,2,0.0424,-2.724,1,0.0856,141.02,4,0.822
Bad Habits,Ed Sheeran,0,189577,0.0488,0.768,0.935,0.00117,11,0.339,-4.902,0,0.0598,125.971,4,0.8
Perfect,Ed Sheeran,0,263400,0.162,0.598,0.448,0.0,8,0.106,-6.312,1,0.0232,95.009,3,0.168
2step,Ed Sheeran,3,153627,0.169,0.763,0.661,0.0,4,0.117,-5.592,0,0.056,95.002,4,0.632
Visiting Hours,Ed Sheeran,0,215507,0.77,0.471,0.396,0.0,8,0.0729,-6.654,1,0.0336,149.609,4,0.263
2step,Ed Sheeran,3,153627,0.169,0.763,0.661,0.0,4,0.117,-5.592,0,0.056,95.002,4,0.632
New Man,Ed Sheeran,0,189280,0.0559,0.78,0.745,0.0,7,0.0595,-3.97,1,0.145,94.03,4,0.862
Supermarket Flowers,Ed Sheeran,0,221107,0.914,0.579,0.242,0.0,6,0.0887,-10.517,1,0.046,89.865,4,0.254
Thinking Out Loud,Ed Sheeran,0,281560,0.474,0.781,0.445,0.0,2,0.184,-6.061,1,0.0296,78.997,4,0.591
Bad Habits - Joel Corry Remix,Ed Sheeran,0,189577,0.0488,0.768,0.935,0.00117,11,0.339,-4.902,0,0.0598,125.971,4,0.8
New York,Ed Sheeran,0,235960,0.707,0.731,0.461,0.0,6,0.113,-8.726,1,0.0391,86.014,4,0.473
Don't - Don Diablo Remix,Ed Sheeran,0,249835,0.0112,0.681,0.949,0.107,5,0.272,-2.608,0,0.0358,125.971,4,0.36
MIA,Bad Bunny,0,210368,0.0141,0.817,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.061,4,0.158
MIA,Bad Bunny,0,210368,0.0141,0.817,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.061,4,0.158
Photograph,Ed Sheeran,0,258987,0.607,0.718,0.379,0.000472,4,0.0986,-10.48,1,0.0359,108.033,4,0.22
FRESH KERIAS,Feid,0,272800,0.291,0.741,0.582,0.000101,8,0.152,-4.445,1,0.281,186.096,4,0.713
Photograph,Ed Sheeran,0,258987,0.607,0.718,0.379,0.000472,4,0.0986,-10.48,1,0.0359,108.033,4,0.22
JAMAICA,Feid,0,224240,0.0383,0.52,0.542,0.0,1,0.371,-7.404,0,0.155,81.131,4,0.669
Out of Time,The Weeknd,0,214191,0.244,0.629,0.763,0.0,0,0.312,-4.279,0,0.0453,93.023,4,0.809
I Don't Care - Acoustic,Ed Sheeran,0,238220,0.793,0.705,0.35,0.0,6,0.108,-8.126,1,0.0301,94.059,4,0.643
PORFA - Remix,Feid,0,333800,0.0765,0.793,0.737,0.0,6,0.0747,-4.731,0,0.0785,167.969,4,0.697
I Don't Care - Acoustic,Ed Sheeran,0,238220,0.793,0.705,0.35,0.0,6,0.108,-8.126,1,0.0301,94.059,4,0.643
Shivers,Ed Sheeran,0,207853,0.281,0.788,0.859,0.0,2,0.0424,-2.724,1,0.0856,141.02,4,0.822
Celestial,Ed Sheeran,0,209027,0.0529,0.574,0.852,0.0,2,0.161,-1.248,1,0.0397,123.038,4,0.501
I'm Good (Blue),David Guetta,2,175238,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
Celestial,Ed Sheeran,0,209027,0.0529,0.574,0.852,0.0,2,0.161,-1.248,1,0.0397,123.038,4,0.501
Bad Habits,Ed Sheeran,0,189577,0.0488,0.768,0.935,0.00117,11,0.339,-4.902,0,0.0598,125.971,4,0.8
Castle on the Hill,Ed Sheeran,0,261154,0.0231,0.461,0.834,1.16e-05,2,0.14,-4.868,1,0.0991,135.007,4,0.469
I'm Good (Blue),David Guetta,0,175238,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
I'm Good (Blue),David Guetta,0,175238,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
I'm Good (Blue),David Guetta,0,175238,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
I'm Good (Blue),David Guetta,0,175238,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
Crazy What Love Can Do,David Guetta,1,169756,0.0282,0.601,0.713,0.0,4,0.158,-3.758,0,0.0449,122.872,4,0.464
Shivers,Ed Sheeran,0,207853,0.281,0.788,0.859,0.0,2,0.0424,-2.724,1,0.0856,141.02,4,0.822
Bad Habits,Ed Sheeran,0,189577,0.0488,0.768,0.935,0.00117,11,0.339,-4.902,0,0.0598,125.971,4,0.8
I'm Good (Blue),David Guetta,0,175238,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
Crazy What Love Can Do,David Guetta,6,169756,0.0282,0.601,0.713,0.0,4,0.158,-3.758,0,0.0449,122.872,4,0.464
Titanium,David Guetta,0,245040,0.0678,0.604,0.788,0.153,0,0.127,-3.673,0,0.103,126.06,4,0.301
Sing,Ed Sheeran,0,235382,0.3,0.818,0.67,1.13e-06,8,0.0601,-4.45,0,0.047,119.987,4,0.947
Perfect,Ed Sheeran,0,263400,0.162,0.598,0.448,0.0,8,0.106,-6.312,1,0.0232,95.009,3,0.168
Crazy What Love Can Do,David Guetta,0,169756,0.0282,0.601,0.713,0.0,4,0.158,-3.758,0,0.0449,122.872,4,0.464
I'm Good (Blue),David Guetta,0,175238,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
I'm Good (Blue),David Guetta,0,175238,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
